Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BLK,Blackrock,756.45,6.0300000000001,+0.80%,759.37,747.42,623000,01/08/21
BLL,"Ball Corp",90.57,-0.11000000000001,-0.12%,91.18,89.71,1391200,01/08/21
BMY,"Bristol-Myers Squibb Company",62.49,0.13,+0.21%,63.18,62.15,10010500,01/08/21
BR,"Broadridge Financial Solutions Llc",156.21,0.59,+0.38%,158.1,154.69,578400,01/08/21
BRK.B,"Berkshire Hathaway Cl B",234.03,1.15,+0.49%,234.6,231.72,4850600,01/08/21
BSX,"Boston Scientific Corp",36.75,0.19,+0.52%,37.04,36.52,7288800,01/08/21
BWA,"Borgwarner Inc",40.29,-0.81,-1.97%,41.14,39.86,2059400,01/08/21
BXP,"Boston Properties",90.04,-0.20999999999999,-0.23%,90.88,89.14,1123200,01/08/21
C,"Citigroup Inc",65.37,-0.64999999999999,-0.98%,66.21,64.34,20747700,01/08/21
CAG,"Conagra Brands Inc",34.07,0.29,+0.86%,34.13,33.4,6455300,01/08/21
CAH,"Cardinal Health",55.91,-0.40000000000001,-0.71%,56.99,55.55,2137400,01/08/21
CARR,"Carrier Global Corp [Carr/I]",40.69,-0.40000000000001,-0.97%,41.35,40,6964300,01/08/21
CAT,"Caterpillar Inc",194.26,0.030000000000001,+0.02%,195.26,191.32,3186600,01/08/21
CB,"Chubb Ltd",155.4,-0.46000000000001,-0.30%,157.31,153.33,1287700,01/08/21
CBOE,"CBOE Global Markets Inc",98.81,2.02,+2.09%,99.17,96.72,710900,01/08/21
CBRE,"CBRE Group Inc",62.64,1.14,+1.85%,63.09,61.45,1381900,01/08/21
CCI,"Crown Castle International Corp",154.06,1.61,+1.06%,155.13,153.35,2432600,01/08/21
CCL,"Carnival Corp",20.47,-0.27,-1.30%,21.02,20.18,30369900,01/08/21
CDNS,"Cadence Design Sys",136.19,-0.86,-0.63%,138.54,134.1,2049600,01/08/21
CDW,"CDW Corp",134.59,2.62,+1.99%,135.74,132,999400,01/08/21
CE,"Celanese Corp",136.82,-2.6,-1.86%,139.65,135.34,582700,01/08/21
CERN,"Cerner Corp",79.86,0.23,+0.29%,80,78.37,1586900,01/08/21
CF,"Cf Industries Holdings",43.16,0.38999999999999,+0.91%,43.26,42.14,3449300,01/08/21
CFG,"Citizens Financial Group Inc/Ri",39.56,-0.61,-1.52%,40.15,38.72,3406300,01/08/21
CHD,"Church & Dwight Company",85.4,0.5,+0.59%,85.47,83.81,1722600,01/08/21
CHRW,"C.H. Robinson Ww",97.36,1.2,+1.25%,98.65,96.11,1249700,01/08/21
CHTR,"Charter Communicatio",634.38,4.61,+0.73%,634.79,624.39,1051100,01/08/21
CI,"Cigna Corp",220.8,0.30000000000001,+0.14%,223.11,219.04,2346000,01/08/21
CINF,"Cincinnati Financial",87.78,0.1,+0.11%,87.92,86.55,685900,01/08/21
CL,"Colgate-Palmolive Company",82.35,0.55,+0.67%,82.61,81.82,5569400,01/08/21
CLX,"Clorox Company",197.84,1.41,+0.72%,197.85,194.33,1413800,01/08/21
CMA,"Comerica Inc",61.38,-0.96,-1.54%,63.16,60.24,1343100,01/08/21
CMCSA,"Comcast Corp A",51.54,0.88,+1.74%,51.66,50.31,22140400,01/08/21
CME,"CME Group Inc",199.68,0.87,+0.44%,200.86,196.98,1867400,01/08/21
CMG,"Chipotle Mexican Grill",1402.44,34.3,+2.51%,1410.51,1374.81,368900,01/08/21
CMI,"Cummins Inc",234.31,-4.9,-2.05%,241.25,231.3,1455800,01/08/21
CMS,"Cms Energy Corp",57.68,-0.27,-0.47%,58.04,57.1,2471600,01/08/21
CNC,"Centene Corp",68.21,-1.54,-2.21%,70.26,67.56,3675900,01/08/21
CNP,"Centerpoint Energy Inc",20.71,-0.17,-0.81%,20.96,20.52,7833500,01/08/21
COF,"Capital One Financial Corp",110.56,-0.17,-0.15%,111.78,108.64,3001000,01/08/21
COG,"Cabot Oil & Gas Corp",17.27,-0.15,-0.86%,17.49,17.12,4574900,01/08/21
COO,"Cooper Companies",363.23,-1.83,-0.50%,369.2,359.41,349300,01/08/21
COP,Conocophillips,44.7,0,0.00%,45.48,44.19,9448700,01/08/21
COST,"Costco Wholesale",369.94,2.02,+0.55%,370.26,364.29,2599600,01/08/21
CPB,"Campbell Soup Company",46.86,-0.36,-0.76%,47.39,46.36,3143600,01/08/21
CPRT,"Copart Inc",122.18,1.31,+1.08%,124.01,120.46,843500,01/08/21
