Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MA,"Mastercard Inc",353.85,3.99,+1.14%,354.98,349.49,3371500,01/08/21
MAA,"Mid-America Apartment Communities",125.27,0.72,+0.58%,125.37,124,767900,01/08/21
MAR,"Marriot Int Cl A",129.69,-0.66,-0.51%,132.19,128.98,1485400,01/08/21
MAS,"Masco Corp",54.16,-0.88,-1.60%,55.54,53.78,1743200,01/08/21
MCD,"McDonald's Corp",215.87,3.89,+1.84%,216.12,212.23,2639100,01/08/21
MCHP,"Microchip Technology",147.4,-1.3,-0.87%,152.85,146.36,2598800,01/08/21
MCK,"Mckesson Corp",183.55,0.53,+0.29%,184.39,181.84,1171600,01/08/21
MCO,"Moody's Corp",280.21,-1.17,-0.42%,284.31,276.96,650200,01/08/21
MDLZ,"Mondelez Intl Inc",58.19,0.43,+0.74%,58.27,57.33,6642700,01/08/21
MDT,"Medtronic Inc",119.71,1.01,+0.85%,119.87,118.39,3529800,01/08/21
MET,"Metlife Inc",49.41,-0.17,-0.34%,49.98,48.52,4415600,01/08/21
MGM,"MGM Resorts International",31.36,0.76,+2.48%,31.85,30.39,15359800,01/08/21
MHK,"Mohawk Industries",143.68,-0.63,-0.44%,145.67,141.42,431500,01/08/21
MKC,"Mccormick & Company Inc",95.21,0.41999999999999,+0.44%,95.4,94.05,842400,01/08/21
MKTX,"Marketaxess Holdings",552.09,2.88,+0.52%,560.58,546.75,174700,01/08/21
MLM,"Martin Marietta Materials",310.43,2.61,+0.85%,311.45,304.85,497800,01/08/21
MMC,"Marsh & Mclennan Companies",113.48,0.14,+0.12%,114.3,111.83,2439400,01/08/21
MMM,"3M Company",166.62,-3.1,-1.83%,169.54,164.61,4808100,01/08/21
MNST,"Monster Beverage Cp",94.99,1.49,+1.59%,95.06,92.95,3138700,01/08/21
MO,"Altria Group",41.59,-0.19,-0.45%,41.84,41.28,8314300,01/08/21
MOS,"Mosaic Company",26.81,-0.1,-0.37%,27.25,26.14,6009300,01/08/21
MPC,"Marathon Petroleum Corp",43.18,-0.99,-2.24%,44.79,43.11,5255100,01/08/21
MRK,"Merck & Company",83.03,-0.98999999999999,-1.18%,84.37,82.55,9125100,01/08/21
MRO,"Marathon Oil Corp",7.55,-0.14,-1.82%,7.85,7.45,26139600,01/08/21
MS,"Morgan Stanley",75.25,0.31,+0.41%,75.34,73.85,12896700,01/08/21
MSCI,"MSCI Inc",452.68,9.04,+2.04%,454.06,443.64,305100,01/08/21
MSFT,"Microsoft Corp",219.62,1.33,+0.61%,220.58,217.03,22956201,01/08/21
MSI,"Motorola Solutions",174.55,3.47,+2.03%,174.64,171.3,830300,01/08/21
MTB,"M&T Bank Corp",144.24,-3.31,-2.24%,147.05,141.36,915700,01/08/21
MTD,"Mettler-Toledo International",1236.99,14.45,+1.18%,1245.62,1218.05,80600,01/08/21
MU,"Micron Technology",77.42,-1.69,-2.14%,84.16,77.07,51271996,01/08/21
MXIM,"Maxim Integrated",94.41,0.49,+0.52%,96.71,93.77,3665300,01/08/21
NCLH,"Norwegian Cruise Ord",24.43,-0.23,-0.93%,25.12,23.92,13493300,01/08/21
NDAQ,"Nasdaq Inc",138.81,2.01,+1.47%,139.14,135.43,787000,01/08/21
NEE,"Nextera Energy",81.13,1.84,+2.32%,81.21,79.44,8376200,01/08/21
NEM,"Newmont Mining Corp",62.79,-2.35,-3.61%,64.2,61.74,8805600,01/08/21
NFLX,"Netflix Inc",510.4,1.51,+0.30%,513.24,504.51,2973900,01/08/21
NI,"NiSource Inc",21.81,-0.32,-1.45%,22.13,21.66,3282100,01/08/21
NKE,"Nike Inc",146.35,1.4,+0.97%,146.82,144.9,3950700,01/08/21
NLOK,"Nortonlifelock Inc",21.04,-0.08,-0.38%,21.25,20.63,4682700,01/08/21
NLSN,"Nielsen Holdings Plc",20.94,0.1,+0.48%,21.16,20.71,6985400,01/08/21
NOC,"Northrop Grumman Corp",288.33,-4.25,-1.45%,293.59,286.6,2090400,01/08/21
NOV,"Nov Inc",15.01,-0.11,-0.73%,15.27,14.76,4606700,01/08/21
NOW,"Servicenow Inc",529.64,18.23,+3.56%,531.61,518.16,1595000,01/08/21
NRG,"NRG Energy",39.01,1.61,+4.30%,39.27,37.7,3321200,01/08/21
NSC,"Norfolk Southern Corp",254.04,4.19,+1.68%,257.7,248.78,1563200,01/08/21
NTAP,"Netapp Inc",64.97,-0.27,-0.41%,65.82,64.56,2670800,01/08/21
NTRS,"Northern Trust Corp",96.89,-0.69,-0.71%,97.91,95.4,637700,01/08/21
NUE,"Nucor Corp",56.02,-0.16999999999999,-0.30%,56.6,54.76,2720800,01/08/21
NVDA,"Nvidia Corp",531.07,-2.69,-0.50%,536.84,521.68,7313200,01/08/21
NVR,"NVR Inc",3930,-95.93,-2.38%,4077,3892.67,44600,01/08/21
NWL,"Newell Rubbermaid Inc",23.07,0.43,+1.90%,23.26,22.68,2082200,01/08/21
NWS,"News Cp Cl B",18.16,-0.12,-0.66%,18.4,17.95,803300,01/08/21
NWSA,"News Cp Cl A",18.63,-0.11,-0.59%,18.91,18.38,1920200,01/08/21
O,"Realty Income Corp",59.74,0.84,+1.43%,59.86,58.86,3198100,01/08/21
ODFL,"Old Dominion Freight Line Inc",205.56,3.6,+1.78%,207,202.18,640800,01/08/21
OKE,"Oneok Inc",39.93,-0.77,-1.89%,41.1,39.57,3470500,01/08/21
OMC,"Omnicom Group Inc",63.59,-0.38,-0.59%,64.6,62.49,2213500,01/08/21
ORCL,"Oracle Corp",63.38,0.31,+0.49%,63.54,62.9,7751600,01/08/21
ORLY,"O'Reilly Automotive",477.92,8.02,+1.71%,480.94,469.96,786900,01/08/21
OTIS,"Otis Worldwide Corp [Otis/I]",66.83,-0.95,-1.40%,67.97,65.85,1914100,01/08/21
OXY,"Occidental Petroleum Corp",20.08,-0.49,-2.38%,21.03,19.87,18277900,01/08/21
PAYC,"Paycom Software Inc",441.13,9.39,+2.17%,449,434.67,357100,01/08/21
PAYX,"Paychex Inc",92.02,0.49,+0.54%,92.5,91.24,1236300,01/08/21
PBCT,"People's United Finl",14.04,-0.12,-0.85%,14.15,13.79,5625100,01/08/21
PCAR,"Paccar Inc",87.8,-0.6,-0.68%,88.95,86.6,1267400,01/08/21
PEAK,"Healthpeak Properties Inc",28.59,0.17,+0.60%,28.61,28.18,2600500,01/08/21
PEG,"Public Service Enterprise Group Inc",57.31,1.21,+2.16%,57.49,56.12,2925700,01/08/21
PEP,"Pepsico Inc",144.18,1.71,+1.20%,144.4,141.66,4312200,01/08/21
PFE,"Pfizer Inc",37.13,0.07,+0.19%,37.53,36.9,33462300,01/08/21
PFG,"Principal Financial Group Inc",51.86,0.12,+0.23%,52.43,51.05,978600,01/08/21
PG,"Procter & Gamble Company",138.79,-0.060000000000002,-0.04%,139.05,137,7448400,01/08/21
PGR,"Progressive Corp",94.5,-0.23999999999999,-0.25%,94.85,92.84,1685300,01/08/21
PH,"Parker-Hannifin Corp",280.66,-0.69999999999999,-0.25%,282.67,275.98,1279600,01/08/21
PHM,Pultegroup,41.53,-0.96,-2.26%,43.09,41.3,2439000,01/08/21
PKG,"Packaging Corp of America",144.78,-0.16999999999999,-0.12%,146.57,143.13,740800,01/08/21
PKI,Perkinelmer,159.76,-0.77000000000001,-0.48%,162.4,157.6,1006400,01/08/21
PLD,"Prologis Inc",96.6,1.28,+1.34%,97.6,95.14,2199700,01/08/21
PM,"Philip Morris International Inc",83.09,0.11,+0.13%,83.75,82.47,4035500,01/08/21
PNC,"PNC Bank",158.19,-0.81,-0.51%,159.22,156.1,1842200,01/08/21
PNR,"Pentair Ltd",56.1,1.07,+1.94%,56.44,55.14,2054500,01/08/21
PNW,"Pinnacle West Capital Corp",77.77,-0.17,-0.22%,78.09,76.96,513200,01/08/21
POOL,"Pool Corp",390.99,5.04,+1.31%,399.47,387.52,333400,01/08/21
PPG,"PPG Industries",148.3,-2.53,-1.68%,150.95,147.43,1141400,01/08/21
PPL,"PPL Corp",27.81,0.07,+0.25%,27.98,27.68,3418800,01/08/21
PRGO,"Perrigo Company",44.64,-1.36,-2.96%,46.19,44.28,1142800,01/08/21
PRU,"Prudential Financial Inc",80.7,-0.64999999999999,-0.80%,81.6,79.32,1603900,01/08/21
PSA,"Public Storage",222.62,5.17,+2.38%,223.63,218.49,805500,01/08/21
PSX,"Phillips 66",70.71,-1.15,-1.60%,72.6,70.34,2683600,01/08/21
PVH,"Phillips-Van Heusen Corp",103.97,-1.53,-1.45%,106.11,102.73,873400,01/08/21
PWR,"Quanta Services",75.98,-0.41,-0.54%,76.8,75.01,809400,01/08/21
PXD,"Pioneer Natural Resources Company",131.24,-0.75,-0.57%,133.78,130.12,3147800,01/08/21
PYPL,"Paypal Holdings",242.46,7.42,+3.16%,242.91,236.07,6767700,01/08/21
QCOM,"Qualcomm Inc",156.64,0.94,+0.60%,157.53,154.54,6252300,01/08/21
QRVO,"Qorvo Inc",179.4,0.83,+0.46%,182,177.48,791600,01/08/21
RCL,"Royal Caribbean Cruises Ltd",72.97,-1.01,-1.37%,75.49,71.96,3104100,01/08/21
RE,"Everest Re Group",238.97,-2.39,-0.99%,241.86,236.01,209600,01/08/21
REG,"Regency Centers Corp",45.49,0.48,+1.07%,45.51,44.75,1067000,01/08/21
REGN,"Regeneron Pharmaceuticals",498.73,17.53,+3.64%,500.7,487.93,1018800,01/08/21
RF,"Regions Financial Corp",17.57,-0.09,-0.51%,17.74,17.21,7526800,01/08/21
RHI,"Robert Half International Inc",64.37,-0.69999999999999,-1.08%,65.44,64.09,777600,01/08/21
RJF,"Raymond James Financial",102,0.27,+0.27%,102.48,100.5,598200,01/08/21
RL,"Ralph Lauren Corp",109.48,-2.7,-2.41%,112.83,107.83,1283000,01/08/21
RMD,"Resmed Inc",218.94,3.68,+1.71%,219.14,214.09,506100,01/08/21
ROK,"Rockwell Automation Inc",261.81,2.27,+0.87%,264.25,258.23,700900,01/08/21
ROL,"Rollins Inc",40.8,0.63,+1.57%,40.86,40.15,1179900,01/08/21
ROP,"Roper Industries",431.1,0.52000000000004,+0.12%,432.93,426.13,310500,01/08/21
ROST,"Ross Stores Inc",122.41,0.39,+0.32%,123.8,121.2,1755100,01/08/21
RSG,"Republic Services",96.97,0.2,+0.21%,97.57,96.54,863000,01/08/21
RTX,"Raytheon Technologies Corp",69.86,0.079999999999998,+0.11%,70.08,68.7,5158100,01/08/21
SBAC,"SBA Communications",267.82,2.57,+0.97%,270.07,266.09,552400,01/08/21
SBUX,"Starbucks Corp",105.67,2.32,+2.24%,105.76,103.42,5869600,01/08/21
SCHW,"The Charles Schwab Corp",58.98,-0.080000000000005,-0.14%,59.58,58.23,9165400,01/08/21
SEE,"Sealed Air Corp",46.28,-0.94,-1.99%,47.55,45.8,724900,01/08/21
SHW,"Sherwin-Williams Company",728.77,-6.36,-0.87%,734.48,721.19,401100,01/08/21
SIVB,"Svb Financial Group",424.03,-7.31,-1.69%,433.15,412.23,560100,01/08/21
SJM,"J.M. Smucker Company",116.12,-0.72999999999999,-0.62%,117.05,114.77,861300,01/08/21
SLB,"Schlumberger N.V.",24.84,-0.039999999999999,-0.16%,25.37,24.48,11952000,01/08/21
SLG,"SL Green Realty Corp",60.24,0.74,+1.24%,60.7,58.9,1718200,01/08/21
SNA,"Snap-On Inc",172.89,-2.98,-1.69%,176.13,170.76,277600,01/08/21
SNPS,"Synopsys Inc",262.8,3.96,+1.53%,264.33,259.29,630400,01/08/21
SO,"Southern Company",61.57,0.43,+0.70%,61.71,60.77,3965900,01/08/21
SPG,"Simon Property Group",86.49,1.36,+1.60%,86.5,83.7,3692500,01/08/21
SPGI,"S&P Global Inc",326.85,-2.22,-0.67%,331.2,322.69,1493800,01/08/21
SRE,"Sempra Energy",119.78,-0.12,-0.10%,120.53,119.39,2843500,01/08/21
STE,"Steris Corp",202.81,3.02,+1.51%,203.89,199,307800,01/08/21
STT,"State Street Corp",77.13,-0.60000000000001,-0.77%,78.29,76.12,1773600,01/08/21
STX,"Seagate Tech Ord Shs",59,-1.11,-1.85%,60.78,58.78,3144300,01/08/21
STZ,"Constellation Brands Inc",230.21,1.34,+0.59%,232.47,225.26,1595300,01/08/21
SWK,"Stanley Black & Decker Inc",176.73,-0.69,-0.39%,178.76,173.89,907000,01/08/21
SWKS,"Skyworks Solutions",163.48,0.8,+0.49%,165.99,160.6,1598400,01/08/21
SYF,"Synchrony Financial",36.58,-0.13,-0.35%,36.97,36.04,4614900,01/08/21
SYK,"Stryker Corp",243.66,-0.060000000000002,-0.02%,247.44,241.64,1378500,01/08/21
SYY,"Sysco Corp",77.55,1.96,+2.59%,77.82,75.21,3682900,01/08/21
T,"AT&T Inc",29.02,-0.89,-2.98%,29.21,28.75,54736800,01/08/21
TAP,"Molson Coors Brewing Company",49.5,0.35,+0.71%,49.54,48.83,1134300,01/08/21
TDG,"Transdigm Group Inc",613.26,8.08,+1.34%,614.73,604.13,201800,01/08/21
TDY,"Teledyne Technologies Inc",368.33,12.16,+3.41%,369.92,355.49,566100,01/08/21
TEL,"Te Connectivity Ltd",130.47,1.81,+1.41%,131.75,128.24,2301300,01/08/21
TER,"Teradyne Inc",132.15,2.24,+1.72%,133.48,130.44,1340800,01/08/21
TFC,"Truist Financial Corp",50.65,-0.84,-1.63%,51.44,49.87,4703100,01/08/21
TFX,"Teleflex Inc",413.38,9.6,+2.38%,414.72,405.14,183400,01/08/21
TGT,"Target Corp",193.6,2.5,+1.31%,193.88,190.81,3321500,01/08/21
TJX,"TJX Companies",70.22,0.31999999999999,+0.46%,70.96,69.5,6307000,01/08/21
TMO,"Thermo Fisher Scientific Inc",512.3,11.97,+2.39%,519,503.05,2221700,01/08/21
TMUS,"T-Mobile US",135.06,1.87,+1.40%,135.2,132.23,2951100,01/08/21
TPR,"Tapestry Inc",34.23,-0.64,-1.84%,35.22,34.01,4079700,01/08/21
TROW,"T Rowe Price Group",154.52,-0.03,-0.02%,157.4,152.09,1178100,01/08/21
TRV,"The Travelers Companies Inc",139.65,0.58000000000001,+0.42%,139.77,137.9,995200,01/08/21
TSCO,"Tractor Supply Company",149.31,2.19,+1.49%,149.46,145.75,1069900,01/08/21
TSLA,"Tesla Inc",880.02,63.98,+7.84%,884.49,838.39,75055500,01/08/21
TSN,"Tyson Foods",64.03,-0.58,-0.90%,65.01,63.51,2672400,01/08/21
TT,"Trane Technologies Plc",152.58,-1.14,-0.74%,154.3,149.94,1061900,01/08/21
TTWO,"Take-Two Interacti",210.43,2.42,+1.16%,211.44,207.63,899700,01/08/21
TWTR,"Twitter Inc",51.48,-0.85,-1.62%,52.7,50.19,16955400,01/08/21
TXN,"Texas Instruments",171.16,3.22,+1.92%,172.75,168.86,4556500,01/08/21
TXT,"Textron Inc",48.42,-0.38,-0.78%,48.84,47.37,702700,01/08/21
TYL,"Tyler Technologies",436.39,-1.28,-0.29%,443.96,432.2,225200,01/08/21
UA,"Under Armour Inc Cl C",15.25,-0.34,-2.18%,15.75,15.25,3293500,01/08/21
UAA,"Under Armour",17.7,-0.33,-1.83%,18.21,17.67,4376900,01/08/21
UAL,"United Airlines Holdings Inc",43.29,-0.33,-0.76%,44,43.02,9215300,01/08/21
UDR,"United Dominion Realty Trust",37.38,-0.18,-0.48%,37.44,36.97,879000,01/08/21
UHS,"Universal Health Services",141.14,-1.32,-0.93%,143.54,140.16,510600,01/08/21
ULTA,"Ulta Beauty Inc",294.26,1.84,+0.63%,297.59,290.73,692500,01/08/21
UNH,"Unitedhealth Group Inc",363.39,-1.64,-0.45%,367.49,358.76,2948000,01/08/21
UNM,"Unumprovident Corp",23.34,-0.18,-0.77%,23.9,22.88,2377900,01/08/21
UNP,"Union Pacific Corp",218.82,6.1,+2.87%,221.28,216.99,3922900,01/08/21
UPS,"United Parcel Service",158.39,-0.61000000000001,-0.38%,159.9,157.47,4844800,01/08/21
URI,"United Rentals",260.15,-4.53,-1.71%,266.55,253.48,708100,01/08/21
USB,"U.S. Bancorp",49.32,-0.67,-1.34%,50.23,48.81,6574400,01/08/21
V,"Visa Inc",215.45,1.64,+0.77%,216.12,212.75,6513200,01/08/21
VAR,"Varian Medical Systems",175.7,-0.080000000000013,-0.05%,175.9,175.5,765200,01/08/21
VFC,"V.F. Corp",87.85,-0.43000000000001,-0.49%,89.17,87.1,1829700,01/08/21
VIAC,"Viacomcbs Inc Cl B",40.06,-0.06,-0.15%,40.21,39.53,11159500,01/08/21
VLO,"Valero Energy Corp",57.71,-1.96,-3.28%,60.19,57.29,3913500,01/08/21
VMC,"Vulcan Materials Company",162.83,0.82000000000002,+0.51%,164.12,160,802100,01/08/21
VNO,"Vornado Realty Trust",36.08,0.25,+0.70%,36.17,35.23,2366700,01/08/21
VNT,"Vontier Corp [Vnt/I]",34.82,0.6,+1.75%,35.08,34.06,1441000,01/08/21
VRSK,"Verisk Analytics Inc",200.9,-0.07,-0.03%,202.05,199.6,626400,01/08/21
VRSN,"Verisign Inc",202.44,2.44,+1.22%,202.88,200.47,834600,01/08/21
VRTX,"Vertex Pharmaceutic",237,4.1,+1.76%,237.76,233.01,1231100,01/08/21
VTR,"Ventas Inc",47.14,-0.3,-0.63%,47.39,46.37,1338400,01/08/21
VTRS,"Viatris Inc",18.3,-0.22,-1.19%,18.6,18.03,6893400,01/08/21
VZ,"Verizon Communications Inc",57.8,-0.73,-1.25%,58.36,57.37,28411500,01/08/21
WAB,"Wabtec Corp",81.23,-0.70999999999999,-0.87%,82.72,80.57,1364800,01/08/21
WAT,"Waters Corp",261.82,1.03,+0.39%,267.29,260.39,368200,01/08/21
WBA,"Walgreens Boots Alliance",45.21,-0.05,-0.11%,46.47,44.62,9895300,01/08/21
WDC,"Western Digital Cp",51.82,-2.92,-5.33%,55.45,51.27,7544300,01/08/21
WEC,"Wisconsin Energy Corp",87.95,-0.31,-0.35%,88.8,86.94,1488500,01/08/21
WELL,"Welltower Inc",62.68,-0.62,-0.98%,63.01,61.41,1941000,01/08/21
WFC,"Wells Fargo & Company",33.19,-0.24,-0.72%,33.65,32.67,32324700,01/08/21
WHR,"Whirlpool Corp",179.54,-2.93,-1.61%,183.58,176.28,816200,01/08/21
WLTW,"Willis Towers WT",203.64,-1.61,-0.78%,207.11,202.08,925200,01/08/21
WM,"Waste Management",118.6,0.55,+0.47%,118.95,117.23,1372700,01/08/21
WMB,"Williams Companies",21.3,-0.24,-1.11%,21.65,20.93,13048600,01/08/21
WMT,"Wal-Mart Stores",146.63,-0.02000000000001,-0.01%,147,145.81,8159400,01/08/21
WRB,"W.R. Berkley Corp",66.36,0.34999999999999,+0.53%,67.24,65.43,2421700,01/08/21
WRK,"Westrock Company",45.23,-0.6,-1.31%,46.28,44.44,1550500,01/08/21
WST,"West Pharmaceutical Services",307.53,3.47,+1.14%,312.12,304.51,437700,01/08/21
WU,"Western Union Company",23.27,0.41,+1.79%,23.7,23.03,4359100,01/08/21
WY,"Weyerhaeuser Company",33.38,-0.23,-0.68%,34.36,33.24,4376000,01/08/21
WYNN,"Wynn Resorts Ltd",109.03,-0.72,-0.66%,110.7,108.08,2812300,01/08/21
XEL,"XCEL Energy Inc",65.76,0.6,+0.92%,65.93,64.89,2221700,01/08/21
XLNX,"Xilinx Inc",147.99,-1.72,-1.15%,151.42,146.81,2856500,01/08/21
XOM,"Exxon Mobil Corp",45.46,0.5,+1.11%,45.82,44.95,28628200,01/08/21
XRAY,"Dentsply Sirona Inc",58.18,0.52,+0.90%,59.4,57.37,1336100,01/08/21
XRX,"Xerox Corp",23.55,-0.029999999999998,-0.13%,23.96,23.27,1554800,01/08/21
XYL,"Xylem Inc",107.38,-1.1,-1.01%,108.84,104.52,1632200,01/08/21
YUM,"Yum! Brands",107.15,1.55,+1.47%,107.45,105.62,1252200,01/08/21
ZBH,"Zimmer Biomet Holdings",158.95,-0.35000000000002,-0.22%,161.89,158.36,1222300,01/08/21
ZBRA,"Zebra Technologies",405.47,-3.63,-0.89%,415.45,404.64,348400,01/08/21
ZION,"Zions Bancorp",48.72,-1.27,-2.54%,49.92,47.64,2201000,01/08/21
ZTS,"Zoetis Inc Cl A",168.11,1.11,+0.66%,169.88,166.69,1476000,01/08/21
"Downloaded from Barchart.com as of 01-10-2021 12:28pm CST"
